GSTR1 Filing Freq,GSTR3B Filing Freq,GSTR1 Filing Status,GSTR3B Filing Status,GSTR1 Filing Date,GSTR3B Filing Date,GSTIN ID,Registration Name,State,Status,E-mail Id,Mobile Number,Registration Start Date,Registration End Date,Jurisdiction 2,Jurisdiction 3,Jurisdiction 4,Registration Type,Constitution of Business,Approving Authority,Return Period,IGST on Import of Goods - 4A1,CGST on Import of Goods - 4A1,SGST on Import of Goods - 4A1,CESS on Import of Goods - 4A1,IGST on Import of Services - 4A2,CGST on Import of Services - 4A2,SGST on Import of Services - 4A2,CESS on Import of Services - 4A2,IGST on Reverse Charge - 4A3,CGST on Reverse Charge - 4A3s,SGST on Reverse Charge - 4A3s,CESS on Reverse Charge - 4A3s,IGST on ISD - 4A4,CGST on ISD - 4A4,SGST on ISD - 4A4,CESS on ISD - 4A4,IGST on Other Supplies - 4A5,CGST on Other Supplies - 4A5,SGST on Other Supplies - 4A5,CESS on Other Supplies - 4A5,IGST - Rule based ITC Reversal - 4B1,CGST - Rule based ITC Reversal- 4B1,SGST - Rule based ITC Reversal- 4B1,Cess - Rule based ITC Reversal- 4B1,IGST - Other ITC Reversal - 4B2,CGST - Other ITC Reversal- 4B2,SGST - Other ITC Reversal- 4B2,Cess - Other ITC Reversal- 4B2,IGST Net ITC - 4C,CGST Net ITC- 4C,SGST Net ITC- 4C,CESS Net ITC- 4C,IGST in 4D1,CGST in 4D1,SGST in 4D1,Cess in 4D1,IGST in 4D2,CGST in 4D2,SGST in 4D2,Cess in 4D2
"M","M","1","1","2022-05-10","2022-05-24","24ABIPK6373R1ZY","JAY AMBE INDUSTRIES","Gujarat","Active","khemanihrajesh@gmail.com","9099880620","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-III - SANAND","RANGE I","Normal Tax payer","Proprietorship","CENTER","202204","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7879708.09","7879708.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7879708.09","7879708.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-10","2022-12-23","24AAEFE3626Q1Z7","ERA OVERSEAS","Gujarat","Active","eraoverseas@gmail.com","9978442260","2017-07-01",,"Division - 1","Range - 3","Ghatak 11 (Ahmedabad)","Normal Tax payer","Partnership","STATE","202211","807428.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11795.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17601.00","263535.88","263535.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","836824.00","263535.88","263535.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-06","2022-12-20","24AALFP6600L1Z3","POWER GAIN ENGINEERS","Gujarat","Active","accounts@powergainengineers.com","9909412240","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-VI - S G HIGHWAY WEST","RANGE II","Normal Tax payer","Partnership","CENTER","202211","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1600.00","800.00","800.00","0.00","0.00","0.00","0.00","0.00","270441.48","1587897.51","1587897.51","0.00","0.00","930.88","930.88","0.00","132.00","2655.00","2655.00","0.00","271909.48","1585111.63","1585111.63","0.00","127.00","0.00","0.00","0.00","0.00","23998.03","23998.03","0.00"
"M","M","1","1","2022-05-04","2022-05-17","24AAXFR3097H1ZL","RUDRA-SHAKTI CARTING CONTRACTOR","Gujarat","Active","KEYURPBAROT@YAHOO.COM","7567971795","2018-04-05",,"AHMEDABAD-NORTH","DIVISION-VII - S G HIGHWAY EAST","RANGE V","Normal Tax payer","Partnership","CENTER","202204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",,,,
"M","M","1","1","2022-11-07","2022-11-18","24AAMFS4772K1ZO","SUNDEEP SYNTHETICS","Gujarat","Active","ntpl103@gmail.com","9374707500","2017-07-01",,"Division - 8","Range - 17","Ghatak 68 (Surat)","Normal Tax payer","Partnership","STATE","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2625.00","4315.00","4315.00","0.00","0.00","0.00","0.00","0.00","0.00","393146.00","393146.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2625.00","397461.00","397461.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-11-04","2022-11-20","24ADEPT1606L1ZJ","R.V. ENTERPRISE","Gujarat","Active","chetan@pashupaticotton.com","9099977558","2017-07-01",,"GANDHINAGAR","KADI DIVISION","RANGE IV","Normal Tax payer","Proprietorship","CENTER","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2358338.00","2358338.00","0.00","0.00","0.00","0.00","0.00","345473.15","967963.75","967963.75","0.00","0.00","0.00","0.00","0.00","435.15","0.00","0.00","0.00","345038.00","3326301.75","3326301.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-02-03","2023-02-03","24AALFJ8777A2Z5","J&A ENGINEERING","Gujarat","Active","Info@jandaengineering.com","9924935247","2017-09-06",,"VADODARA-I","DIVISION-III VADODARA","RANGE-II","Normal Tax payer","Partnership","CENTER","202210","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.00","10.75","10.75","0.00","0.00","0.00","0.00","0.00","3116.20","627851.42","627851.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3136.20","627862.17","627862.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Q","Q",,,,,"24AAPFB2818J1ZD","BHARAT SANITARY AND FITTING","Gujarat","Active","hardikraval133@gmail.com","9898661593","2018-04-18",,"Division - 11","Range - 21","Ghatak 85 (Junagadh)","Normal Tax payer","Partnership","STATE","202210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00","0.00","0.00","0.00",,,,
"M","M","1","1","2022-09-15","2022-09-26","24ADKFS4178E1ZX","SWASTIK CONSTRUCTION","Gujarat","Active","tinubari@rediffmail.com","9925100994","2017-10-18",,"SURAT","DIVISION-XII UMBERGAON","RANGE-V","Normal Tax payer","Partnership","CENTER","202208","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89192.16","149127.09","149127.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","89192.16","149127.09","149127.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-03-10","2023-03-25","24ABIPK6373R1ZY","JAY AMBE INDUSTRIES","Gujarat","Active","khemanihrajesh@gmail.com","9099880620","2017-07-01",,"AHMEDABAD-NORTH","DIVISION-III - SANAND","RANGE I","Normal Tax payer","Proprietorship","CENTER","202302","3057881.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","109710.00","1035089.54","1035089.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3167591.00","1035089.54","1035089.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-03-10","2023-04-11","24AAMFS4772K1ZO","SUNDEEP SYNTHETICS","Gujarat","Active","ntpl103@gmail.com","9374707500","2017-07-01",,"Division - 8","Range - 17","Ghatak 68 (Surat)","Normal Tax payer","Partnership","STATE","202302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3063.00","3063.00","0.00","0.00","0.00","0.00","0.00","4861.00","1997324.00","1997324.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4861.00","2000387.00","2000387.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-03-09","2023-03-19","24ADKFS4178E1ZX","SWASTIK CONSTRUCTION","Gujarat","Active","tinubari@rediffmail.com","9925100994","2017-10-18",,"SURAT","DIVISION-XII UMBERGAON","RANGE-V","Normal Tax payer","Partnership","CENTER","202302","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","77644.11","77644.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","77644.11","77644.11","0.00","0.00","0.00","0.00","0.00","0.00","1726.22","1726.22","0.00"
"M","M","1","1","2022-07-11","2022-07-20","24AAMFS4772K1ZO","SUNDEEP SYNTHETICS","Gujarat","Active","ntpl103@gmail.com","9374707500","2017-07-01",,"Division - 8","Range - 17","Ghatak 68 (Surat)","Normal Tax payer","Partnership","STATE","202206","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4700.00","2751.00","2751.00","0.00","0.00","0.00","0.00","0.00","716243.00","2139138.00","2139138.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","720943.00","2141889.00","2141889.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2023-01-10","2023-02-07","24AAVFG3150G1ZE","GOPAL ISPAT","Gujarat","Active","CA.KPJAGAD@GMAIL.COM","9898354400","2020-07-28",,"BHAVNAGAR","DIVISION - BHAVNAGAR - I","BHAVNAGAR - 1","Normal Tax payer","Partnership","CENTER","202212","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2712.50","5814.84","5814.84","0.00","0.00","0.00","0.00","0.00","206142.40","2252159.46","2252159.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","208854.90","2257974.30","2257974.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Q","Q","1","1","2022-11-05","2022-11-05","24AAPFB2818J1ZD","BHARAT SANITARY AND FITTING","Gujarat","Active","hardikraval133@gmail.com","9898661593","2018-04-18",,"Division - 11","Range - 21","Ghatak 85 (Junagadh)","Normal Tax payer","Partnership","STATE","202209","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","384561.92","384561.92","0.00","0.00","0.00","0.00","0.00","0.00","8692.00","8692.00","0.00","0.00","375869.92","375869.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"M","M","1","1","2022-12-01","2022-12-01","24AGSPR6304A1ZJ","ANJANI  EXCAVATION  OPERATIONS","Gujarat","Active","shrisaiconsultancy27@gmail.com","9825527633","2017-07-01",,"VADODARA-II","DIVISION-VII BHARUCH","RANGE-IV","Normal Tax payer","Proprietorship","CENTER","202209","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","708982.62","708982.62","0.00","0.00","0.00","0.00","0.00","0.00","677329.44","677329.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1386312.06","1386312.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
